Names,ARCAM,State Award A,State Award B,20 yr medal
Apple1,1,1,1,1
Apple2,1,1,,1
Apple3,1,1,1,1
Apple4,3,1,1,1
Apple5,1,1,1,1
Apple6,,1,1,1
Apple7,1,1,1,
Apple8,1,1,1,1
Apple9,1,1,1,1
Apple10,1,1,1,1
Apple11,4,1,1,1
Apple12,1,,1,1
Apple13,1,1,1,1
Apple14,1,1,1,1
Apple15,1,1,1,
Apple16,1,1,1,1
Apple17,,1,1,1
Apple18,1,1,1,
Apple19,5,1,1,1
Apple20,1,1,1,1
Apple21,1,1,1,1
Apple22,1,,1,1
Apple23,1,1,1,1
Apple24,,1,1,1
Apple25,4,1,1,1
Apple26,1,1,1,1
Apple27,1,1,1,
Apple28,,1,1,1
Apple29,1,1,,1
Apple30,1,1,1,1
Apple31,2,1,1,1
Apple32,1,1,1,1
Apple33,1,1,1,1
Apple34,1,1,1,1
Apple35,3,,,1
Apple36,1,1,1,
Apple37,1,1,1,
Apple38,3,1,1,1
Apple39,1,1,1,1
Apple40,,1,1,1
Apple41,1,1,,1
Apple42,6,1,1,1
Apple43,1,1,1,1
Apple44,1,,1,1
Apple45,,1,1,1
Apple46,1,1,1,1
Apple47,3,1,1,1
Apple48,1,1,1,1
Apple49,3,1,1,1
Apple50,1,1,1,1
Apple51,1,1,1,1
Apple52,1,1,,1
Apple53,3,1,1,
Apple54,4,1,1,1
Apple55,1,1,1,1
Apple56,1,1,1,
Apple57,1,1,1,1
Apple58,1,1,1,1
Apple59,1,1,1,1
Apple60,3,1,1,1
Apple61,,1,1,1
Apple62,1,,,1
Apple63,3,,,1
Apple64,3,1,1,1
Apple65,1,1,1,1
Apple66,,1,1,1
Apple67,1,1,1,1
Apple68,3,1,1,1
Apple69,1,1,1,1
Apple70,3,1,1,1
Apple71,1,1,,1
Apple72,3,1,1,1
Apple73,1,1,1,1
Apple74,,1,1,1
Apple75,1,1,1,1
Apple76,2,1,1,1
Apple77,1,1,1,1
Apple78,1,1,1,1
Apple79,1,1,1,1
Apple80,1,1,1,1
Apple81,5,1,1,1
Apple82,1,1,1,1
Apple83,1,1,1,1
Apple84,2,1,1,1
Apple85,1,1,1,1
Apple86,1,1,1,1
Apple87,,1,,1
Apple88,,1,1,1
Apple89,,1,1,1
Apple90,1,1,1,1
Apple91,1,1,1,
Apple92,4,1,1,1
Apple93,1,1,1,1
Apple94,1,,,1
Apple95,3,,,1
Apple96,2,1,1,1
Apple97,1,1,1,1
Apple98,1,1,1,1
Apple99,1,1,1,1
Apple100,3,1,1,1
Apple101,6,1,1,1
Apple102,1,1,1,1
Apple103,1,1,1,1
Apple104,3,1,1,1
Apple105,,,,
Apple106,,,1,
Apple107,,,,
Apple108,1,1,1,1
Apple109,4,1,,1
